UUID,Timestamp
7fbcc4127490,10:30:00
7fbcc4127490,11:30:00
7fbcc41277c0,10:35:00
7fbcc41277c0,11:35:00
7fbcc41277f0,10:40:00
7fbcc41277f0,11:40:00
7fbcc4127850,10:45:00
7fbcc4127850,10:45:45
7fbcc41278b0,10:50:00
7fbcc41278b0,11:50:00
7fbcc4127910,10:55:00
7fbcc4127910,11:45:00
7fbcc4127970,11:00:00
7fbcc4127970,11:00:45
7fbcc41279d0,11:05:00
7fbcc41279d0,11:50:00
7fbcc4127a30,11:10:00
7fbcc4127a30,11:55:00
7fbcc4127a90,11:15:00
7fbcc4127a90,11:15:45
7fbcc4127af0,11:20:00
7fbcc4127af0,12:30:00
7fbcc4127b50,11:25:00
7fbcc4127b50,12:10:00
7fbcc4127bb0,11:30:00
7fbcc4127bb0,12:40:00
7fbcc4127c10,11:35:00
7fbcc4127c10,12:20:00
7fbcc4127c70,11:40:00
7fbcc4127c70,11:40:45
7fbcc4127cd0,11:45:00
7fbcc4127cd0,12:30:00
7fbcc4127d30,11:50:00
7fbcc4127d30,12:50:00
7fbcc4127d90,11:55:00
7fbcc4127d90,12:45:00
7fbcc4127df0,12:00:00
7fbcc4127df0,12:00:45
7fbcc4127e50,12:05:00
7fbcc4127e50,12:05:45
7fbcc4127eb0,10:30:00
7fbcc4127eb0,10:30:49
7fbcc4127f10,10:35:00
7fbcc4127f10,11:15:00
7fbcc4127f70,10:40:00
7fbcc4127f70,11:40:00
7fbcc4127fd0,10:45:00
7fbcc4127fd0,11:45:00
7fbcc412b070,10:50:00
7fbcc412b070,11:40:00
7fbcc412b0d0,10:55:00
7fbcc412b0d0,10:55:49
7fbcc412b130,11:00:00
7fbcc412b130,11:50:00
7fbcc412b190,11:05:00
7fbcc412b190,11:05:49
7fbcc412b1f0,11:10:00
7fbcc412b1f0,11:50:00
7fbcc412b250,11:15:00
7fbcc412b250,12:25:00
7fbcc412b2b0,11:20:00
7fbcc412b2b0,11:20:49
7fbcc412b310,11:25:00
7fbcc412b310,12:10:00
7fbcc412b370,11:30:00
7fbcc412b370,12:15:00
7fbcc412b3d0,11:35:00
7fbcc412b3d0,11:35:49
7fbcc412b430,11:40:00
7fbcc412b430,12:50:00
7fbcc412b490,11:45:00
7fbcc412b490,12:35:00
7fbcc412b4f0,11:50:00
7fbcc412b4f0,11:50:49
7fbcc412b550,11:55:00
7fbcc412b550,12:35:00
7fbcc412b5b0,12:00:00
7fbcc412b5b0,12:50:00
7fbcc412b610,12:05:00
7fbcc412b610,12:05:49
7fbcc412b670,10:30:00
7fbcc412b670,10:30:53
7fbcc412b6d0,10:35:00
7fbcc412b6d0,11:45:00
7fbcc412b730,10:40:00
7fbcc412b730,11:40:00
7fbcc412b790,10:45:00
7fbcc412b790,11:30:00
7fbcc412b7f0,10:50:00
7fbcc412b7f0,11:30:00
7fbcc412b850,10:55:00
7fbcc412b850,11:40:00
7fbcc412b8b0,11:00:00
7fbcc412b8b0,12:00:00
7fbcc412b910,11:05:00
7fbcc412b910,11:50:00
7fbcc412b970,11:10:00
7fbcc412b970,12:10:00
7fbcc412b9d0,11:15:00
7fbcc412b9d0,12:00:00
7fbcc412ba30,11:20:00
7fbcc412ba30,11:20:53
7fbcc412ba90,11:25:00
7fbcc412ba90,11:25:53
7fbcc412baf0,11:30:00
7fbcc412baf0,12:15:00
7fbcc412bb50,11:35:00
7fbcc412bb50,11:35:53
7fbcc412bbb0,11:40:00
7fbcc412bbb0,12:25:00
7fbcc412bc10,11:45:00
7fbcc412bc10,12:55:00
7fbcc412bc70,11:50:00
7fbcc412bc70,12:40:00
7fbcc412bcd0,11:55:00
7fbcc412bcd0,13:05:00
7fbcc412bd30,12:00:00
7fbcc412bd30,12:00:53
7fbcc412bd90,12:05:00
7fbcc412bd90,12:05:53
7fbcc412bdf0,10:30:00
7fbcc412bdf0,11:20:00
7fbcc412be50,10:35:00
7fbcc412be50,11:35:00
7fbcc412beb0,10:40:00
7fbcc412beb0,11:25:00
7fbcc412bf10,10:45:00
7fbcc412bf10,11:25:00
7fbcc412bf70,10:50:00
7fbcc412bf70,11:50:00
7fbcc412bfd0,10:55:00
7fbcc412bfd0,10:55:57
7fbcc412c070,11:00:00
7fbcc412c070,11:00:57
7fbcc412c0d0,11:05:00
7fbcc412c0d0,11:50:00
7fbcc412c130,11:10:00
7fbcc412c130,12:20:00
7fbcc412c190,11:15:00
7fbcc412c190,11:15:57
7fbcc412c1f0,11:20:00
7fbcc412c1f0,12:20:00
7fbcc412c250,11:25:00
7fbcc412c250,12:15:00
7fbcc412c2b0,11:30:00
7fbcc412c2b0,12:40:00
7fbcc412c310,11:35:00
7fbcc412c310,12:25:00
7fbcc412c370,11:40:00
7fbcc412c370,11:40:57
7fbcc412c3d0,11:45:00
7fbcc412c3d0,11:45:57
7fbcc412c430,11:50:00
7fbcc412c430,13:00:00
7fbcc412c490,11:55:00
7fbcc412c490,12:35:00
7fbcc412c4f0,12:00:00
7fbcc412c4f0,13:00:00
7fbcc412c550,12:05:00
7fbcc412c550,12:05:57
7fbcc412c5b0,10:30:00
7fbcc412c5b0,10:31:01
7fbcc412c610,10:35:00
7fbcc412c610,11:35:00
7fbcc412c670,10:40:00
7fbcc412c670,11:20:00
7fbcc412c6d0,10:45:00
7fbcc412c6d0,11:45:00
7fbcc412c730,10:50:00
7fbcc412c730,11:35:00
7fbcc412c790,10:55:00
7fbcc412c790,11:55:00
7fbcc412c7f0,11:00:00
7fbcc412c7f0,11:40:00
7fbcc412c850,11:05:00
7fbcc412c850,11:45:00
7fbcc412c8b0,11:10:00
7fbcc412c8b0,11:11:01
7fbcc412c910,11:15:00
7fbcc412c910,12:05:00
7fbcc412c970,11:20:00
7fbcc412c970,12:05:00
7fbcc412c9d0,11:25:00
7fbcc412c9d0,12:35:00
7fbcc412ca30,11:30:00
7fbcc412ca30,12:30:00
7fbcc412ca90,11:35:00
7fbcc412ca90,11:36:01
7fbcc412caf0,11:40:00
7fbcc412caf0,11:41:01
7fbcc412cb50,11:45:00
7fbcc412cb50,11:46:01
7fbcc412cbb0,11:50:00
7fbcc412cbb0,11:51:01
7fbcc412cc10,11:55:00
7fbcc412cc10,12:55:00
7fbcc412cc70,12:00:00
7fbcc412cc70,12:50:00
7fbcc412ccd0,12:05:00
7fbcc412ccd0,12:50:00
7fbcc412cd30,10:30:00
7fbcc412cd30,11:10:00
7fbcc412cd90,10:35:00
7fbcc412cd90,10:36:05
7fbcc412cdf0,10:40:00
7fbcc412cdf0,11:40:00
7fbcc412ce50,10:45:00
7fbcc412ce50,10:46:05
7fbcc412ceb0,10:50:00
7fbcc412ceb0,12:00:00
7fbcc412cf10,10:55:00
7fbcc412cf10,10:56:05
7fbcc412cf70,11:00:00
7fbcc412cf70,11:50:00
7fbcc412cfd0,11:05:00
7fbcc412cfd0,11:55:00
7fbcc412e070,11:10:00
7fbcc412e070,12:20:00
7fbcc412e0d0,11:15:00
7fbcc412e0d0,11:55:00
7fbcc412e130,11:20:00
7fbcc412e130,11:21:05
7fbcc412e190,11:25:00
7fbcc412e190,11:26:05
7fbcc412e1f0,11:30:00
7fbcc412e1f0,12:30:00
7fbcc412e250,11:35:00
7fbcc412e250,12:20:00
7fbcc412e2b0,11:40:00
7fbcc412e2b0,12:30:00
7fbcc412e310,11:45:00
7fbcc412e310,11:46:05
7fbcc412e370,11:50:00
7fbcc412e370,11:51:05
7fbcc412e3d0,11:55:00
7fbcc412e3d0,12:35:00
7fbcc412e430,12:00:00
7fbcc412e430,13:00:00
7fbcc412e490,12:05:00
7fbcc412e490,12:06:05
7fbcc412e4f0,10:30:00
7fbcc412e4f0,11:10:00
7fbcc412e550,10:35:00
7fbcc412e550,11:35:00
7fbcc412e5b0,10:40:00
7fbcc412e5b0,10:41:09
7fbcc412e610,10:45:00
7fbcc412e610,11:25:00
7fbcc412e670,10:50:00
7fbcc412e670,11:35:00
7fbcc412e6d0,10:55:00
7fbcc412e6d0,10:56:09
7fbcc412e730,11:00:00
7fbcc412e730,12:00:00
7fbcc412e790,11:05:00
7fbcc412e790,11:55:00
7fbcc412e7f0,11:10:00
7fbcc412e7f0,11:11:09
7fbcc412e850,11:15:00
7fbcc412e850,12:05:00
7fbcc412e8b0,11:20:00
7fbcc412e8b0,12:30:00
7fbcc412e910,11:25:00
7fbcc412e910,11:26:09
7fbcc412e970,11:30:00
7fbcc412e970,12:20:00
7fbcc412e9d0,11:35:00
7fbcc412e9d0,12:45:00
7fbcc412ea30,11:40:00
7fbcc412ea30,11:41:09
7fbcc412ea90,11:45:00
7fbcc412ea90,11:46:09
7fbcc412eaf0,11:50:00
7fbcc412eaf0,11:51:09
7fbcc412eb50,11:55:00
7fbcc412eb50,12:45:00
7fbcc412ebb0,12:00:00
7fbcc412ebb0,13:10:00
7fbcc412ec10,12:05:00
7fbcc412ec10,13:15:00
7fbcc412ec70,10:30:00
7fbcc412ec70,11:10:00
7fbcc412ecd0,10:35:00
7fbcc412ecd0,11:15:00
7fbcc412ed30,10:40:00
7fbcc412ed30,10:41:13
7fbcc412ed90,10:45:00
7fbcc412ed90,11:30:00
7fbcc412edf0,10:50:00
7fbcc412edf0,10:51:13
7fbcc412ee50,10:55:00
7fbcc412ee50,11:40:00
7fbcc412eeb0,11:00:00
7fbcc412eeb0,11:01:13
7fbcc412ef10,11:05:00
7fbcc412ef10,11:50:00
7fbcc412ef70,11:10:00
7fbcc412ef70,11:11:13
7fbcc412efd0,11:15:00
7fbcc412efd0,12:15:00
7fbcc4131070,11:20:00
7fbcc4131070,11:21:13
7fbcc41310d0,11:25:00
7fbcc41310d0,12:10:00
7fbcc4131130,11:30:00
7fbcc4131130,12:15:00
7fbcc4131190,11:35:00
7fbcc4131190,12:35:00
